gene,protein_accession,aro_index,count,rpob_Normalization,rpob_count,sample,SampleType
AAC(6')-Iaf,BAH66386.1,ARO:3002574,1,0.0003556725788338402,19476,SRR12900993_arg_full,Background
AAC(6')-Iih,CAE50926.1,ARO:3002590,1,0.0003556725788338402,19476,SRR12900993_arg_full,Background
AxyY,EGP45231.1,ARO:3004144,11,0.0006882230397320196,19476,SRR12900993_arg_full,Background
Bifidobacterium,WP_041777404.1,ARO:3004480,826,,19476,SRR12900993_arg_full,Background
EreA,AAO38247.1,ARO:3000361,13,0.002090341052998884,19476,SRR12900993_arg_full,Background
Erm(35),AAK07612.2,ARO:3000604,4,0.0009804307791075144,19476,SRR12900993_arg_full,Background
ErmF,AAA88675.1,ARO:3000498,1,0.0002451076947768786,19476,SRR12900993_arg_full,Background
Escherichia,AAC73565.1,ARO:3004043,2,,19476,SRR12900993_arg_full,Background
MCR-5.2,AVM85875.1,ARO:3004698,2,0.00023928246619900033,19476,SRR12900993_arg_full,Background
MOX-5,ACS44783.1,ARO:3002188,1,0.0001704264440245484,19476,SRR12900993_arg_full,Background
MexA,AAG03814.1,ARO:3000377,1,0.0001704264440245484,19476,SRR12900993_arg_full,Background
MexB,AAA74437.1,ARO:3000378,261,0.016314059146051902,19476,SRR12900993_arg_full,Background
MexC,AAB41956.1,ARO:3000800,2,0.0003373389407496216,19476,SRR12900993_arg_full,Background
MexF,AAG05882.1,ARO:3000804,1,6.156515005214166e-05,19476,SRR12900993_arg_full,Background
MuxB,AAG05915.1,ARO:3004074,56,0.003510392961976905,19476,SRR12900993_arg_full,Background
MuxC,AAG05914,ARO:3004075,19,,19476,SRR12900993_arg_full,Background
Nocardia,BAD59497.1,ARO:3000501,1190,,19476,SRR12900993_arg_full,Background
OXA-198,ADT70779.1,ARO:3001805,59,0.014681298539240186,19476,SRR12900993_arg_full,Background
OXA-443,PLT17746.1,ARO:3003599,3,0.0007113451576676804,19476,SRR12900993_arg_full,Background
OXA-444,BAQ55594.1,ARO:3003600,2,0.00048120407724578377,19476,SRR12900993_arg_full,Background
OXA-60,AAQ08905.1,ARO:3001808,1,0.00024060203862289188,19476,SRR12900993_arg_full,Background
OprN,AAG05883.1,ARO:3000805,1,0.00013835888901781522,19476,SRR12900993_arg_full,Background
Pseudomonas,SIP52035.1,ARO:3004054,1,,19476,SRR12900993_arg_full,Background
Streptomyces,AAO47226.2,ARO:3003318,9,,19476,SRR12900993_arg_full,Background
TaeA,APB03219.1,ARO:3003986,34,0.0034284863685431497,19476,SRR12900993_arg_full,Background
TriC,AAG03548.1,ARO:3003681,1,6.441314419825451e-05,19476,SRR12900993_arg_full,Background
acrB,AAC73564.1,ARO:3000216,205,0.012777113974869001,19476,SRR12900993_arg_full,Background
acrD,BAA16344.1,ARO:3000491,77,0.004854690844814882,19476,SRR12900993_arg_full,Background
acrE,AAC76297.1,ARO:3000499,2,,19476,SRR12900993_arg_full,Background
acrF,AAC76298.1,ARO:3000502,127,,19476,SRR12900993_arg_full,Background
adeB,AAL14440.1,ARO:3000775,2,0.00012633929441202045,19476,SRR12900993_arg_full,Background
adeF,CAJ77856.1,ARO:3000777,8,0.0004939151283428421,19476,SRR12900993_arg_full,Background
adeJ,AAX14802.1,ARO:3000781,5,0.00030898845375555516,19476,SRR12900993_arg_full,Background
amrB,CAH35802.1,ARO:3002983,22,0.00137908294934807,19476,SRR12900993_arg_full,Background
arnA,AAG06942.1,ARO:3002985,25,0.002467713216645045,19476,SRR12900993_arg_full,Background
catB9,AAL68645.1,ARO:3002681,1,0.0003116369262163171,19476,SRR12900993_arg_full,Background
